country,unit,window_start,parameter,m,point,lower,upper,within_sd,between_sd,truth,covers,half_width
BOLIVIA,SANTA CRUZ,2020-08-16,a_rain,72,0.25307839682539685,0.028258801770193076,0.4778979918806006,0.06482548576045817,0.09266039675672766,0.3,True,0.22481959505520377
BOLIVIA,TARIJA,2015-01-25,a_temp,72,3.1066600845070425,-114184.20746541375,114190.42078558277,58259.904241070726,2.0293057534666787,1.0,True,114187.31412549826
BOLIVIA,TARIJA,2015-01-25,a_rain,72,-0.11892900000000002,-173809.99668683432,173809.75882883434,88680.13851617585,3.3008893318062937,0.3,True,173809.87775783433
BOLIVIA,TARIJA,2019-12-01,a_temp,72,0.058726611940298504,-2.1736600914690274,2.2911133153496244,1.1256002000892746,0.17279842546849952,1.0,True,2.232386703409326
BOLIVIA,TARIJA,2019-12-01,a_rain,72,0.025769119402985083,-1.9982140990872514,2.0497523378932216,0.7987288974228168,0.6449979950758485,0.3,True,2.0239832184902364
BRAZIL,BRAZIL,2013-12-29,a_temp,72,3.0735619722222225,-0.7687211670971918,6.915845111541637,1.4281465630366426,1.3232036431395913,1.0,True,3.842283139319415
BRAZIL,BRAZIL,2013-12-29,a_rain,72,0.10897575,-0.9383295141165139,1.1562810141165138,0.3410961417092816,0.404424203731284,0.3,True,1.047305264116514
BRAZIL,BRAZIL,2015-11-08,a_temp,72,0.0299036862745098,-5.543269832523696,5.603077205072716,2.84119349862189,0.11359541176851999,1.0,True,5.573173518798206
BRAZIL,BRAZIL,2015-11-08,a_rain,72,-0.1279331568627451,-1.8770415257664426,1.6211752120409524,0.796828115712185,0.39603121074018255,0.3,True,1.7491083689036975
BRAZIL,BRAZIL,2018-12-02,a_temp,72,1.181888491525424,-600.7095250302777,603.0733020133287,307.090492830873,1.2545351009870955,1.0,True,601.8914135218032
BRAZIL,BRAZIL,2018-12-02,a_rain,72,0.5632731016949153,-85.81243980330443,86.93898600669426,44.05802020808593,1.0210594707174587,0.3,True,86.37571290499935
BRAZIL,BRAZIL,2020-11-15,a_temp,72,2.8258291159420295,-40.38217665372361,46.03383488560767,21.931162757459557,2.2239805694400587,1.0,True,43.20800576966564
