country,unit,window_start,arm,observation,temp_form,rain_lag,train_frac,structure,aic_climate,aic_constant,delta_aic,climate_wins,weeks,cases
BELIZE,BELIZE,2020-06-07,as_run,poisson,loglinear,3,0.75,seir,312.8412,359.4501,-46.6089,1,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,loglinear,3,0.75,seir,312.8412,359.4501,-46.6089,1,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,loglinear,5,1.0,hostvector,490.5509,564.5033,-73.9524,1,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,loglinear,5,1.0,hostvector,490.5509,564.5033,-73.9524,1,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,loglinear,5,1.0,seir,483.1338,547.7049,-64.5711,1,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,loglinear,5,1.0,seir,483.1338,547.7049,-64.5711,1,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,loglinear,5,0.75,hostvector,333.1644,374.8373,-41.6729,1,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,loglinear,5,0.75,hostvector,333.1644,374.8373,-41.6729,1,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,loglinear,5,0.75,seir,328.1122,359.4501,-31.3378,1,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,loglinear,5,0.75,seir,328.1122,359.4501,-31.3378,1,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,loglinear,7,1.0,hostvector,517.4809,564.5033,-47.0224,1,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,loglinear,7,1.0,hostvector,517.4809,564.5033,-47.0224,1,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,loglinear,7,1.0,seir,506.4728,547.7049,-41.2321,1,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,loglinear,7,1.0,seir,506.4728,547.7049,-41.2321,1,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,loglinear,7,0.75,hostvector,358.9095,374.8373,-15.9278,1,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,loglinear,7,0.75,hostvector,358.9095,374.8373,-15.9278,1,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,loglinear,7,0.75,seir,349.6928,359.4501,-9.7572,1,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,loglinear,7,0.75,seir,349.6928,359.4501,-9.7572,1,39,1617.0
BOLIVIA,CHUQUISACA,2015-11-08,as_run,nb,briere,3,1.0,hostvector,285.2452,281.2606,3.9846,0,33,1072.0
BOLIVIA,CHUQUISACA,2015-11-08,thorough,nb,briere,3,1.0,hostvector,285.2452,281.2606,3.9846,0,33,1072.0
BOLIVIA,CHUQUISACA,2015-11-08,as_run,nb,briere,3,1.0,seir,277.223,273.3489,3.8741,0,33,1072.0
BOLIVIA,CHUQUISACA,2015-11-08,thorough,nb,briere,3,1.0,seir,277.223,273.3489,3.8741,0,33,1072.0
BOLIVIA,CHUQUISACA,2015-11-08,as_run,nb,briere,3,0.75,hostvector,233.4368,230.3147,3.1221,0,25,1016.0
BOLIVIA,CHUQUISACA,2015-11-08,thorough,nb,briere,3,0.75,hostvector,233.4368,230.3147,3.1221,0,25,1016.0
BOLIVIA,CHUQUISACA,2015-11-08,as_run,nb,briere,3,0.75,seir,225.7526,222.5485,3.2041,0,25,1016.0
BOLIVIA,CHUQUISACA,2015-11-08,thorough,nb,briere,3,0.75,seir,225.7526,222.5485,3.2041,0,25,1016.0
BOLIVIA,CHUQUISACA,2015-11-08,as_run,nb,briere,5,1.0,hostvector,285.2602,281.2606,3.9996,0,33,1072.0
BOLIVIA,CHUQUISACA,2015-11-08,thorough,nb,briere,5,1.0,hostvector,285.2602,281.2606,3.9996,0,33,1072.0
BOLIVIA,CHUQUISACA,2015-11-08,as_run,nb,briere,5,1.0,seir,277.1799,273.3489,3.831,0,33,1072.0
BOLIVIA,CHUQUISACA,2015-11-08,thorough,nb,briere,5,1.0,seir,277.1799,273.3489,3.831,0,33,1072.0
