country,unit,window_start,truth,observation,temp_form,rain_lag,train_frac,structure,params,delta_aic,climate_wins,climate_wins_margin4
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,3,0.75,hostvector_tempmort,alt,3.125,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,5,1.0,hostvector,central,2.013,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,5,1.0,hostvector,alt,0.84,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,5,1.0,seir,central,2.857,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,5,1.0,seir,alt,3.08,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,5,1.0,hostvector_tempmort,central,2.213,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,5,1.0,hostvector_tempmort,alt,0.807,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,5,0.75,hostvector,central,1.628,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,5,0.75,hostvector,alt,0.749,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,5,0.75,seir,central,3.699,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,5,0.75,seir,alt,3.825,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,5,0.75,hostvector_tempmort,central,1.474,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,5,0.75,hostvector_tempmort,alt,0.455,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,7,1.0,hostvector,central,3.995,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,7,1.0,hostvector,alt,1.865,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,7,1.0,seir,central,2.404,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,7,1.0,seir,alt,2.566,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,7,1.0,hostvector_tempmort,central,3.864,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,7,1.0,hostvector_tempmort,alt,2.373,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,7,0.75,hostvector,central,3.903,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,7,0.75,hostvector,alt,1.601,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,7,0.75,seir,central,2.764,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,7,0.75,seir,alt,2.829,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,7,0.75,hostvector_tempmort,central,3.496,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,loglinear,7,0.75,hostvector_tempmort,alt,1.783,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,3,1.0,hostvector,central,-68.991,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,3,1.0,hostvector,alt,-77.287,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,3,1.0,seir,central,-56.283,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,3,1.0,seir,alt,-41.642,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,3,1.0,hostvector_tempmort,central,-60.288,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,3,1.0,hostvector_tempmort,alt,-63.453,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,3,0.75,hostvector,central,-68.847,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,3,0.75,hostvector,alt,-78.659,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,3,0.75,seir,central,-55.394,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,3,0.75,seir,alt,-40.93,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,3,0.75,hostvector_tempmort,central,-60.042,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,3,0.75,hostvector_tempmort,alt,-64.364,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,5,1.0,hostvector,central,-115.128,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,5,1.0,hostvector,alt,-132.559,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,5,1.0,seir,central,-57.752,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,5,1.0,seir,alt,-35.606,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,5,1.0,hostvector_tempmort,central,-91.569,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,5,1.0,hostvector_tempmort,alt,-108.263,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,5,0.75,hostvector,central,-115.041,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,5,0.75,hostvector,alt,-132.812,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,5,0.75,seir,central,-56.953,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,poisson,briere,5,0.75,seir,alt,-34.956,1,1
