country,unit,window_start,observation,rain_lag,train_frac,structure,params,true_a_temp,true_a_rain,true_beta_0,a_temp_hat,a_temp_se,a_rain_hat,a_rain_se,beta_0_hat,beta_0_se
BARBADOS,BARBADOS,2020-08-23,nb,7,0.75,hostvector_tempmort,alt,1.0,0.3,0.173513,0.0,3.40811,0.287751,0.211851,0.155183,0.107798
BARBADOS,BARBADOS,2020-08-23,poisson,3,1.0,hostvector,central,1.0,0.3,0.173513,0.0,7.151181,0.239072,0.33865,0.153259,0.184717
BARBADOS,BARBADOS,2020-08-23,poisson,3,1.0,hostvector,alt,1.0,0.3,0.173513,0.0,8.054626,0.266882,0.40651,0.124567,0.166824
BARBADOS,BARBADOS,2020-08-23,poisson,3,1.0,seir,central,1.0,0.3,0.173513,1e-06,9.460302,0.275359,0.372384,0.320469,0.523815
BARBADOS,BARBADOS,2020-08-23,poisson,3,1.0,seir,alt,1.0,0.3,0.173513,0.0,9.196349,0.301778,0.371625,0.396213,0.627642
BARBADOS,BARBADOS,2020-08-23,poisson,3,1.0,hostvector_tempmort,central,1.0,0.3,0.173513,0.0,4.528827,0.225073,0.217762,0.159558,0.123247
BARBADOS,BARBADOS,2020-08-23,poisson,3,1.0,hostvector_tempmort,alt,1.0,0.3,0.173513,0.0,7.955032,0.253823,0.398051,0.129156,0.171213
BARBADOS,BARBADOS,2020-08-23,poisson,3,0.75,hostvector,central,1.0,0.3,0.173513,0.0,8.461993,0.24713,0.406852,0.152296,0.216558
BARBADOS,BARBADOS,2020-08-23,poisson,3,0.75,hostvector,alt,1.0,0.3,0.173513,0.0,0.280647,0.272578,0.120797,0.124053,0.019871
BARBADOS,BARBADOS,2020-08-23,poisson,3,0.75,seir,central,1.0,0.3,0.173513,0.0,11.182145,0.297657,0.456718,0.31515,0.605188
BARBADOS,BARBADOS,2020-08-23,poisson,3,0.75,seir,alt,1.0,0.3,0.173513,0.0,12.611902,0.324088,0.519282,0.389912,0.842888
BARBADOS,BARBADOS,2020-08-23,poisson,3,0.75,hostvector_tempmort,central,1.0,0.3,0.173513,0.0,8.642539,0.23333,0.412107,0.158542,0.230461
BARBADOS,BARBADOS,2020-08-23,poisson,3,0.75,hostvector_tempmort,alt,1.0,0.3,0.173513,0.0,3.597362,0.259855,0.173405,0.128595,0.082529
BARBADOS,BARBADOS,2020-08-23,poisson,5,1.0,hostvector,central,1.0,0.3,0.173513,0.0,0.935056,0.247957,0.096039,0.172008,0.033054
BARBADOS,BARBADOS,2020-08-23,poisson,5,1.0,hostvector,alt,1.0,0.3,0.173513,0.0,6.980639,0.266731,0.348505,0.141722,0.189378
BARBADOS,BARBADOS,2020-08-23,poisson,5,1.0,seir,central,1.0,0.3,0.173513,1e-06,7.856205,0.359329,0.402337,0.362617,0.545706
BARBADOS,BARBADOS,2020-08-23,poisson,5,1.0,seir,alt,1.0,0.3,0.173513,0.0,6.438097,0.402715,0.361902,0.451355,0.552109
BARBADOS,BARBADOS,2020-08-23,poisson,5,1.0,hostvector_tempmort,central,1.0,0.3,0.173513,0.0,5.087072,0.236191,0.255175,0.177618,0.1736
