country,unit,window_start,observation,rain_lag,train_frac,structure,params,true_a_temp,true_a_rain,a_temp_hat,a_temp_se,a_rain_hat,a_rain_se
BOLIVIA,BOLIVIA,2019-11-10,nb,7,1.0,hostvector_tempmort,central,1.0,0.3,1.11705,0.414087,-0.174849,0.052937
BOLIVIA,BOLIVIA,2019-11-10,nb,7,1.0,hostvector_tempmort,alt,1.0,0.3,1.524819,0.552011,-0.203982,0.059916
BOLIVIA,BOLIVIA,2019-11-10,nb,7,0.75,hostvector,central,1.0,0.3,1.563174,1.412963,-0.150882,0.065999
BOLIVIA,BOLIVIA,2019-11-10,nb,7,0.75,hostvector,alt,1.0,0.3,1.678335,1.663776,-0.166043,0.075817
BOLIVIA,BOLIVIA,2019-11-10,nb,7,0.75,seir,central,1.0,0.3,1.973138,1.469694,-0.185526,0.065858
BOLIVIA,BOLIVIA,2019-11-10,nb,7,0.75,seir,alt,1.0,0.3,1.945272,1.559442,-0.181682,0.066701
BOLIVIA,BOLIVIA,2019-11-10,nb,7,0.75,hostvector_tempmort,central,1.0,0.3,1.677314,1.375615,-0.151267,0.064306
BOLIVIA,BOLIVIA,2019-11-10,nb,7,0.75,hostvector_tempmort,alt,1.0,0.3,1.763922,1.625714,-0.165884,0.074032
BOLIVIA,BOLIVIA,2019-11-10,poisson,3,1.0,hostvector,central,1.0,0.3,0.0,0.635501,0.390705,0.139598
BOLIVIA,BOLIVIA,2019-11-10,poisson,3,1.0,hostvector,alt,1.0,0.3,0.0,,0.473183,
BOLIVIA,BOLIVIA,2019-11-10,poisson,3,1.0,seir,central,1.0,0.3,0.0,,0.39657,
BOLIVIA,BOLIVIA,2019-11-10,poisson,3,1.0,seir,alt,1.0,0.3,0.0,,0.416812,
BOLIVIA,BOLIVIA,2019-11-10,poisson,3,1.0,hostvector_tempmort,central,1.0,0.3,0.0,0.635198,0.390584,0.136299
BOLIVIA,BOLIVIA,2019-11-10,poisson,3,1.0,hostvector_tempmort,alt,1.0,0.3,0.0,0.734204,0.472213,0.14921
BOLIVIA,BOLIVIA,2019-11-10,poisson,3,0.75,hostvector,central,1.0,0.3,0.007962,1.092961,0.446612,0.151991
BOLIVIA,BOLIVIA,2019-11-10,poisson,3,0.75,hostvector,alt,1.0,0.3,0.109972,1.275549,0.516969,0.169181
BOLIVIA,BOLIVIA,2019-11-10,poisson,3,0.75,seir,central,1.0,0.3,0.0,0.071354,0.512389,0.184287
BOLIVIA,BOLIVIA,2019-11-10,poisson,3,0.75,seir,alt,1.0,0.3,0.0,0.011121,0.533544,0.199656
BOLIVIA,BOLIVIA,2019-11-10,poisson,3,0.75,hostvector_tempmort,central,1.0,0.3,0.113665,1.071799,0.447194,0.149917
BOLIVIA,BOLIVIA,2019-11-10,poisson,3,0.75,hostvector_tempmort,alt,1.0,0.3,0.184699,1.253221,0.516897,0.167029
BOLIVIA,BOLIVIA,2019-11-10,poisson,5,1.0,hostvector,central,1.0,0.3,0.0,0.696529,0.210757,0.141737
BOLIVIA,BOLIVIA,2019-11-10,poisson,5,1.0,hostvector,alt,1.0,0.3,0.0,0.048774,0.456983,0.182754
BOLIVIA,BOLIVIA,2019-11-10,poisson,5,1.0,seir,central,1.0,0.3,0.0,0.165038,0.062798,0.13548
BOLIVIA,BOLIVIA,2019-11-10,poisson,5,1.0,seir,alt,1.0,0.3,0.0,0.743038,0.037962,0.140566
BOLIVIA,BOLIVIA,2019-11-10,poisson,5,1.0,hostvector_tempmort,central,1.0,0.3,1e-06,0.683215,0.193672,0.138937
BOLIVIA,BOLIVIA,2019-11-10,poisson,5,1.0,hostvector_tempmort,alt,1.0,0.3,0.0,0.229124,0.380889,0.175623
BOLIVIA,BOLIVIA,2019-11-10,poisson,5,0.75,hostvector,central,1.0,0.3,0.073731,1.191268,0.197278,0.159113
BOLIVIA,BOLIVIA,2019-11-10,poisson,5,0.75,hostvector,alt,1.0,0.3,0.0,,0.343407,
BOLIVIA,BOLIVIA,2019-11-10,poisson,5,0.75,seir,central,1.0,0.3,0.0,1.418524,0.066477,0.160992
BOLIVIA,BOLIVIA,2019-11-10,poisson,5,0.75,seir,alt,1.0,0.3,0.0,1.516251,0.038295,0.16358
BOLIVIA,BOLIVIA,2019-11-10,poisson,5,0.75,hostvector_tempmort,central,1.0,0.3,0.197611,1.181966,0.179154,0.15685
BOLIVIA,BOLIVIA,2019-11-10,poisson,5,0.75,hostvector_tempmort,alt,1.0,0.3,2e-06,1.36619,0.306277,0.191989
BOLIVIA,BOLIVIA,2019-11-10,poisson,7,1.0,hostvector,central,1.0,0.3,0.940711,0.826182,-0.19788,0.083746
