country,unit,window_start,location,observation,temp_form,rain_lag,train_frac,structure,params,delta_aic,climate_wins,weeks,cases
BOLIVIA,BENI,2021-12-05,primary,nb,briere,7,1.0,seir,central,3.339,0,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,7,1.0,seir,alt,3.03,0,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,7,1.0,hostvector_tempmort,central,3.055,0,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,7,1.0,hostvector_tempmort,alt,3.184,0,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,7,0.75,hostvector,central,2.525,0,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,7,0.75,hostvector,alt,3.018,0,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,7,0.75,seir,central,2.239,0,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,7,0.75,seir,alt,1.536,0,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,7,0.75,hostvector_tempmort,central,2.478,0,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,briere,7,0.75,hostvector_tempmort,alt,2.94,0,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,loglinear,3,1.0,hostvector,central,-11.637,1,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,loglinear,3,1.0,hostvector,alt,-11.656,1,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,loglinear,3,1.0,seir,central,-10.499,1,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,loglinear,3,1.0,seir,alt,-11.41,1,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,loglinear,3,1.0,hostvector_tempmort,central,-11.418,1,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,loglinear,3,1.0,hostvector_tempmort,alt,-11.459,1,31,2288.0
BOLIVIA,BENI,2021-12-05,primary,nb,loglinear,3,0.75,hostvector,central,-26.217,1,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,loglinear,3,0.75,hostvector,alt,-27.335,1,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,loglinear,3,0.75,seir,central,-19.235,1,23,1881.0
BOLIVIA,BENI,2021-12-05,primary,nb,loglinear,3,0.75,seir,alt,-19.309,1,23,1881.0
